,hour,station_code,day_type,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name,tap_in_vol,tap_out_vol,totalTapIn,totalTapOut,percentIn,percentOut,0
0,5,BP6/DT1,weekday,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,9082.0,8842.75,503763.25,540350.25,0.01802830992534688,0.01636484854036803,0
1,5,BP6/DT1,weekend,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,1680.75,1452.5,178252.0,185204.75,0.009429066714538968,0.007842671421764291,0
2,6,BP6/DT1,weekday,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,37389.0,21041.75,503763.25,540350.25,0.07421938777788971,0.03894094617333849,0
3,6,BP6/DT1,weekend,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,5584.75,2855.5,178252.0,185204.75,0.03133064425644593,0.015418071080790314,0
4,7,BP6/DT1,weekday,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,67522.0,37424.25,503763.25,540350.25,0.1340351841862224,0.0692592443512333,0
5,7,BP6/DT1,weekend,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,8794.0,5240.25,178252.0,185204.75,0.04933464982160088,0.02829436070079196,0
6,8,BP6/DT1,weekday,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,56901.5,28588.0,503763.25,540350.25,0.11295286029697482,0.05290642504560699,0
7,8,BP6/DT1,weekend,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,10912.25,6972.75,178252.0,185204.75,0.061218106949711644,0.0376488723966313,0
8,9,BP6/DT1,weekday,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,32967.0,17680.25,503763.25,540350.25,0.06544145488977213,0.03271998116036774,0
9,9,BP6/DT1,weekend,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,12434.75,7255.75,178252.0,185204.75,0.0697593855889415,0.039176910959357145,0
