period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2021-12,weekend,9,NS10,16703,6149,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,9,NS10,52166,21115,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,21,NS10,13255,45343,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,21,NS10,4150,15043,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,5,NS10,3794,443,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,5,NS10,22952,2515,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,7,NS10,14252,6246,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,7,NS10,105831,40363,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,20,NS10,5957,13987,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,20,NS10,21990,47749,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,24,NS10,255,3116,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,24,NS10,873,8696,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,6,NS10,66241,17373,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,6,NS10,10820,3280,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,13,NS10,34704,24050,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,13,NS10,13695,9087,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,19,NS10,33084,67358,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,19,NS10,8503,14503,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,23,NS10,4036,24748,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,23,NS10,1387,9967,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,22,NS10,8681,41967,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,22,NS10,2973,14453,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,11,NS10,16146,6303,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,11,NS10,39813,16186,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,15,NS10,11476,9978,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,15,NS10,26539,27235,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,12,NS10,37040,20082,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,12,NS10,15186,7581,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,14,NS10,12334,9424,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,14,NS10,28810,24888,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,17,NS10,12921,13003,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,17,NS10,49886,52447,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,8,NS10,76042,36722,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,8,NS10,15371,6705,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,10,NS10,17013,5719,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,10,NS10,44686,14872,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,18,NS10,54576,80213,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,18,NS10,10861,14935,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,16,NS10,11329,10820,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekday,16,NS10,29002,35738,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2021-12,weekend,13,EW9,6977,6047,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,13,EW9,12581,11697,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,21,EW9,9192,17510,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,21,EW9,4207,5793,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,19,EW9,6335,8069,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,19,EW9,16588,30026,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,14,EW9,6337,6166,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,14,EW9,11620,10940,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,11,EW9,6456,5578,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,11,EW9,12451,9034,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,17,EW9,7879,9552,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,17,EW9,21198,21294,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,23,EW9,1432,3074,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,23,EW9,3279,8239,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,8,EW9,5116,6253,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,8,EW9,21869,24133,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,10,EW9,6348,6206,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,10,EW9,12891,9887,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,9,EW9,5909,6091,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,9,EW9,15898,15351,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,20,EW9,11244,18000,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,20,EW9,4865,6425,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,6,EW9,21907,5280,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,6,EW9,4906,1185,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,24,EW9,280,859,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,24,EW9,69,316,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekend,7,EW9,7293,3888,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2021-12,weekday,7,EW9,31938,15645,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
