period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-03,weekend,11,NS7,1378,1060,NS7,,,False,7.0,,,,,,,,,,,,,Kranji
2022-03,weekday,11,NS7,2422,1994,NS7,,,False,7.0,,,,,,,,,,,,,Kranji
2022-03,weekday,16,SW4,960,1330,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-03,weekend,16,SW4,451,483,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-03,weekend,10,CC5,618,1432,CC5,,,False,,,5.0,,,,,,,,,,,Nicoll Highway
2022-03,weekday,10,CC5,1321,3979,CC5,,,False,,,5.0,,,,,,,,,,,Nicoll Highway
2022-03,weekend,13,CC23,1159,1054,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-03,weekday,13,CC23,7066,7013,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-03,weekday,22,EW33,796,1198,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-03,weekend,22,EW33,262,888,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-03,weekday,14,CC21,5718,6233,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-03,weekend,14,CC21,2546,2490,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-03,weekend,18,EW24/NS1,30623,29293,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-03,weekday,18,EW24/NS1,157912,108536,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-03,weekend,7,NE10,2617,2161,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-03,weekday,7,NE10,18999,32248,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-03,weekday,8,EW22,8318,17037,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-03,weekend,8,EW22,1320,1219,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-03,weekday,7,BP10,10764,2990,BP10,,,False,,,,,,10.0,,,,,,,,Fajar
2022-03,weekend,7,BP10,924,477,BP10,,,False,,,,,,10.0,,,,,,,,Fajar
2022-03,weekend,15,NE10,4102,3956,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-03,weekday,15,NE10,14146,11666,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-03,weekend,18,EW22,1311,1738,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-03,weekday,18,EW22,11925,11975,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-03,weekday,15,CC25,4259,3245,CC25,,,False,,,25.0,,,,,,,,,,,Haw Par Villa
2022-03,weekend,15,CC25,1907,1314,CC25,,,False,,,25.0,,,,,,,,,,,Haw Par Villa
2022-03,weekend,12,CE1/DT16,4901,10635,CE1,DT16,,True,,,,,,,1.0,16.0,,,,,,Bayfront
2022-03,weekday,12,CE1/DT16,10439,19762,CE1,DT16,,True,,,,,,,1.0,16.0,,,,,,Bayfront
2022-03,weekday,10,SW6,3207,1364,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-03,weekend,10,SW6,1440,542,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-03,weekend,17,DT31,2377,2449,DT31,,,False,,,,,,,,31.0,,,,,,Tampines West
2022-03,weekday,17,DT31,7243,11594,DT31,,,False,,,,,,,,31.0,,,,,,Tampines West
