BusStopCode,RoadName,Description,Latitude,Longitude,svc,len
1012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006,"63,12e,80,2,51,61,7,32,175,2A,12,33",12.0
1013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225,"197,130,851e,960,960e,133,851,145",8.0
1019,Victoria St,Bras Basah Cplx,1.2969895119133201,103.85302201172509,"130,12e,2,960,960e,133,12,33",8.0
1029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.8544142246427,"63,197,80,851e,51,61,7,32,7A,175,145,851,63A",13.0
1039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837408,"63,197,80,851e,51,61,7,32,7A,175,145,851,63A",13.0
1059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457584,"130,2,960,960e,133,12,33",7.0
1109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224,170A,1.0
1112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814,"980,63,197,12e,80,851e,7,960,175,960e,851,12",12.0
1113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393,"130,2,2A,51,61,32,133,145,33",9.0
1119,Victoria St,Aft Bugis Stn Exit C,1.2996041093803998,103.85512934079573,"130,12e,2,960,960e,133,12,33",8.0
1121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207,"63,197,130,80,2,2A,51,61,7,32,175,133,145,12,33",15.0
1129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718493,"133,2,12,33",4.0
1139,Nth Bridge Rd,Parkview Sq,1.30033057855542,103.857160806659,"63,197,80,851e,51,61,7,32,7A,175,145,851,63A",13.0
1211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032,"63,197,107,80,2,2A,51,61,7,32,175,133,107M,145,12,33",16.0
1219,Victoria St,Blk 461,1.30526598535719,103.86072019914616,"107,2,133,107M,12,33",6.0
1229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198263,"63,197,80,51,61,7,32,7A,175,145,63A",11.0
1231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663,"107,107M",2.0
1239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134,"961M,980,107,961,107M",5.0
1311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240972,"63,197,107,80,2,2A,51,61,7,32,175,133,107M,145,12,33",16.0
1319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476,"107,2,133,107M,12,33",6.0
1329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124,"961M,980,63,197,80,51,61,7,32,7A,175,961,145,63A",14.0
1339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441,"961M,980,63,197,80,51,61,7,32,7A,175,961,145,100,63A",15.0
1341,Crawford St,Southbank,1.3064755560057801,103.86452527798744,"961,961M,980,100",4.0
1349,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417885,100,1.0
1411,Beach Rd,Opp St. John HQ,1.30211332865049,103.86295598167332,"961,961M,980,100",4.0
1419,Beach Rd,St. John HQ,1.3020199999911002,103.86326333301204,100,1.0
1421,Beach Rd,Opp Golden Mile Cplx,1.30338444400173,103.8648388889864,"961,961M,980,100",4.0
1429,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807765,100,1.0
1511,Beach Rd,Opp The Gateway,1.2991982610380701,103.85864518302436,"961M,980,107,961,107M,100",6.0
1519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441,"961M,980,107,57,961,107M,100",7.0
1521,Beach Rd,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194,"961M,980,107,961,107M,100",6.0
