,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name,totalTapIn,totalTapOut,Cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,hub,min_dist,nearest_hub,bus_rank,pop_rank,dist_rank,pop-bus_rank,code1
0,BP6/DT1,BP6,DT1,,TRUE,,,,,,6,,1,,,,,,Bukit Panjang,503763.25,540350.25,0,678213,20011.39812,40108.68377,1.379002116,103.7615351,Gombak,Bukit Batok,West,operational,TRUE,TRUE,"170A,974A,972A,176,180A,190A,963,961M,180,171,961,160,974,178,970,177,67,983,979,963R,973,972,187,190,963e,75,NR3,973A,960,972M,922,975C,920,184,975,976",36,9930,FALSE,5.529046359,Jurong East,0.869918699,0.504065041,0.650406504,-0.365853659,
40,CC10/DT26,CC10,DT26,,TRUE,,,10,,,,,26,,,,,,MacPherson,229332.25,218221.75,2,378956,34230.01048,34264.54353,1.326150245,103.8892986,Macpherson,Geylang,Central,operational,FALSE,TRUE,"24,155,135,154,70,80A,137,76,43,158,63A,65,43e,80,28,63,61,70A,70M,40,63M",21,28360,FALSE,6.287144607,Raffles Place,0.650406504,0.735772358,0.796747967,0.085365854,
80,CC11,CC11,,,FALSE,,,11,,,,,,,,,,,Tai Seng,222885.5,225728.5,1,534803,34128.79235,35258.74882,1.335141501,103.8883893,Tai Seng,Hougang,North-East,operational,FALSE,FALSE,"24,70,151,80A,76,58A,43,158,62A,90A,62,90,22,93,58B,80,28,70A,70M,58",20,13830,FALSE,6.624440279,Tampines,0.62195122,0.593495935,0.821138211,-0.028455285,
120,CC12,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley,87827.5,75543.75,2,539788,33214.93397,36072.52553,1.342501178,103.8801779,Bidadari,Toa Payoh,Central,operational,FALSE,FALSE,"93,158,129,28",4,0,,,,,,,,
160,CC14,CC14,,,FALSE,,,14,,,,,,,,,,,Lorong Chuan,104689,100974.75,2,554533,31431.40547,37079.94437,1.351612171,103.8641519,Lorong Chuan,Serangoon,North-East,operational,FALSE,FALSE,"105,58",2,8490,FALSE,7.635612297,Raffles Place,0.052845528,0.463414634,0.910569106,0.410569106,
200,CC16,CC16,,,FALSE,,,16,,,,,,,,,,,Marymount,118507,114434.5,2,573993,28679.36877,36758.71365,1.348707263,103.8394231,Upper Thomson,Bishan,Central,operational,FALSE,FALSE,"163,130,167,851,54,165,410G,162M,74,52,162,855,852,132,166,410,410W,980",18,29390,FALSE,7.304788437,Raffles Place,0.56504065,0.756097561,0.886178862,0.191056911,
240,CC17/TE9,CC17,TE9,,TRUE,,,17,,,,,,,9,,,,Caldecott,74797,72068.75,0,297608,28761.5758,35491.34314,1.337245613,103.8401618,Toa Payoh West,Toa Payoh,Central,operational,FALSE,TRUE,"141,235",2,14360,FALSE,6.038770778,Raffles Place,0.052845528,0.613821138,0.723577236,0.56097561,
280,CC19/DT9,CC19,DT9,,TRUE,,,19,,,,,9,,,,,,Botanic Gardens,77084,83539.75,2,257494,25959.6005,33818.14422,1.322113736,103.8149845,Tyersall,Tanglin,Central,operational,FALSE,TRUE,"170A,186,153,154,151,48,67,156",8,3880,FALSE,5.8554404,Raffles Place,0.223577236,0.390243902,0.699186992,0.166666667,
320,CC2,CC2,,,FALSE,,,2,,,,,,,,,,,Bras Basah,49258.75,52827.75,2,189561,29930.76738,31025.9016,1.296861686,103.8506674,Bras Basah,Museum,Central,operational,FALSE,FALSE,"130,147,850E,124,147A,162M,7A,12,131,502,2A,133,32,111,656,851,16,665,162,660,33,166,36,16M,857,851e,502A,167,190,174,652,51,175,14A,518,80,63,951E,77,960,174e,131A,61,14e,7,145,857B,12e,106,36B,960e,2,36A,197,518A,663,14",57,10,FALSE,1.418937125,Raffles Place,0.991869919,0.032520325,0.146341463,-0.959349593,
360,CC20,CC20,,,FALSE,,,20,,,,,,,,,,,Farrer Road,72332.25,73231.5,2,268857,25113.2012,33301.26022,1.317439152,103.8073792,Farrer Court,Bukit Timah,Central,operational,FALSE,FALSE,"93,186,174,961,153,5N,165,855,48,961M",10,6180,FALSE,6.143011399,Raffles Place,0.296747967,0.414634146,0.74796748,0.117886179,
