,Unnamed: 0,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name,totalTapIn,totalTapOut,Cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,hub,min_dist,nearest_hub,bus_rank,pop_rank,dist_rank,pop-bus_rank,code1,geometry,groceryCount,mallCount
0,0,BP6/DT1,BP6,DT1,,True,,,,,,6.0,,1.0,,,,,,Bukit Panjang,503763.25,540350.25,0.0,678213,20011.398119999998,40108.683769999996,1.379002116,103.76153509999999,Gombak,Bukit Batok,West,operational,True,True,"170A,974A,972A,176,180A,190A,963,961M,180,171,961,160,974,178,970,177,67,983,979,963R,973,972,187,190,963e,75,NR3,973A,960,972M,922,975C,920,184,975,976",36,9930.0,False,5.529046359,Jurong East,0.8699186990000001,0.504065041,0.650406504,-0.365853659,,POINT (1.379002116 103.76153509999999),23.0,14.0
1,40,CC10/DT26,CC10,DT26,,True,,,10.0,,,,,26.0,,,,,,MacPherson,229332.25,218221.75,2.0,378956,34230.010480000004,34264.54353,1.326150245,103.88929859999999,Macpherson,Geylang,Central,operational,False,True,"24,155,135,154,70,80A,137,76,43,158,63A,65,43e,80,28,63,61,70A,70M,40,63M",21,28360.0,False,6.287144607,Raffles Place,0.650406504,0.735772358,0.7967479670000001,0.085365854,,POINT (1.326150245 103.88929859999999),37.0,3.0
2,80,CC11,CC11,,,False,,,11.0,,,,,,,,,,,Tai Seng,222885.5,225728.5,1.0,534803,34128.79235,35258.74882,1.3351415009999998,103.88838929999999,Tai Seng,Hougang,North-East,operational,False,False,"24,70,151,80A,76,58A,43,158,62A,90A,62,90,22,93,58B,80,28,70A,70M,58",20,13830.0,False,6.624440279,Tampines,0.62195122,0.593495935,0.821138211,-0.028455285,,POINT (1.3351415009999998 103.88838929999999),32.0,6.0
3,120,CC12,CC12,,,False,,,12.0,,,,,,,,,,,Bartley,87827.5,75543.75,2.0,539788,33214.93397,36072.52553,1.342501178,103.8801779,Bidadari,Toa Payoh,Central,operational,False,False,"93,158,129,28",4,0.0,,,,,,,,,POINT (1.342501178 103.8801779),20.0,5.0
4,160,CC14,CC14,,,False,,,14.0,,,,,,,,,,,Lorong Chuan,104689.0,100974.75,2.0,554533,31431.405469999998,37079.94437,1.351612171,103.86415190000001,Lorong Chuan,Serangoon,North-East,operational,False,False,"105,58",2,8490.0,False,7.635612297000001,Raffles Place,0.052845527999999996,0.463414634,0.910569106,0.410569106,,POINT (1.351612171 103.86415190000001),28.0,9.0
5,200,CC16,CC16,,,False,,,16.0,,,,,,,,,,,Marymount,118507.0,114434.5,2.0,573993,28679.368769999997,36758.71365,1.348707263,103.83942309999999,Upper Thomson,Bishan,Central,operational,False,False,"163,130,167,851,54,165,410G,162M,74,52,162,855,852,132,166,410,410W,980",18,29390.0,False,7.304788437000001,Raffles Place,0.56504065,0.7560975609999999,0.8861788620000001,0.19105691100000002,,POINT (1.348707263 103.83942309999999),20.0,7.0
6,240,CC17/TE9,CC17,TE9,,True,,,17.0,,,,,,,9.0,,,,Caldecott,74797.0,72068.75,0.0,297608,28761.5758,35491.34314,1.3372456129999999,103.8401618,Toa Payoh West,Toa Payoh,Central,operational,False,True,"141,235",2,14360.0,False,6.038770778,Raffles Place,0.052845527999999996,0.6138211379999999,0.7235772359999999,0.56097561,,POINT (1.3372456129999999 103.8401618),26.0,8.0
7,280,CC19/DT9,CC19,DT9,,True,,,19.0,,,,,9.0,,,,,,Botanic Gardens,77084.0,83539.75,2.0,257494,25959.6005,33818.14422,1.322113736,103.8149845,Tyersall,Tanglin,Central,operational,False,True,"170A,186,153,154,151,48,67,156",8,3880.0,False,5.8554404,Raffles Place,0.223577236,0.39024390200000003,0.699186992,0.166666667,,POINT (1.322113736 103.8149845),21.0,6.0
8,320,CC2,CC2,,,False,,,2.0,,,,,,,,,,,Bras Basah,49258.75,52827.75,2.0,189561,29930.76738,31025.9016,1.296861686,103.8506674,Bras Basah,Museum,Central,operational,False,False,"130,147,850E,124,147A,162M,7A,12,131,502,2A,133,32,111,656,851,16,665,162,660,33,166,36,16M,857,851e,502A,167,190,174,652,51,175,14A,518,80,63,951E,77,960,174e,131A,61,14e,7,145,857B,12e,106,36B,960e,2,36A,197,518A,663,14",57,10.0,False,1.418937125,Raffles Place,0.9918699190000001,0.032520325,0.146341463,-0.959349593,,POINT (1.296861686 103.8506674),56.0,50.0
9,360,CC20,CC20,,,False,,,20.0,,,,,,,,,,,Farrer Road,72332.25,73231.5,2.0,268857,25113.2012,33301.26022,1.317439152,103.8073792,Farrer Court,Bukit Timah,Central,operational,False,False,"93,186,174,961,153,5N,165,855,48,961M",10,6180.0,False,6.143011399,Raffles Place,0.296747967,0.41463414600000004,0.74796748,0.11788617900000001,,POINT (1.317439152 103.8073792),26.0,3.0
10,400,CC21,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village,106599.75,113445.75,2.0,278995,23891.21523,32726.41283,1.312240296,103.79639909999999,Leedon Park,Bukit Timah,Central,operational,False,False,"7,5N,106,75,NR8,165,970,7B,95,48,77,61",12,6440.0,False,6.449275377999999,Jurong East,0.36178861799999995,0.42276422799999996,0.81300813,0.06097561,,POINT (1.312240296 103.79639909999999),27.0,2.0
