postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE,svc,bus count,pop
534803,34128.79235,35258.74882,1.335141501,103.8883893,Tai Seng,Tai Seng,Hougang,North-East,CC11,operational,FALSE,FALSE,CC11,,,11,,,,,,,,,"24,70,151,80A,76,58A,43,158,62A,90A,62,90,22,93,58B,80,28,70A,70M,58",20,13830
539788,33214.93397,36072.52553,1.342501178,103.8801779,Bartley,Bidadari,Toa Payoh,Central,CC12,operational,FALSE,FALSE,CC12,,,12,,,,,,,,,"93,158,129,28",4,
554533,31431.40547,37079.94437,1.351612171,103.8641519,Lorong Chuan,Lorong Chuan,Serangoon,North-East,CC14,operational,FALSE,FALSE,CC14,,,14,,,,,,,,,"105,58",2,8490
573993,28679.36877,36758.71365,1.348707263,103.8394231,Marymount,Upper Thomson,Bishan,Central,CC16,operational,FALSE,FALSE,CC16,,,16,,,,,,,,,"163,130,167,851,54,165,410G,162M,74,52,162,855,852,132,166,410,410W,980",18,29390
299176,27707.41657,35102.48027,1.333728883,103.8306895,Bukit Brown,Mount Pleasant,Novena,Central,CC18,future,FALSE,FALSE,CC18,,,18,,,,,,,,,,0,690
257494,25959.6005,33818.14422,1.322113736,103.8149845,Botanic Gardens,Tyersall,Tanglin,Central,CC19/DT9,operational,FALSE,TRUE,CC19,DT9,,19,,,9,,,,,,"170A,186,153,154,151,48,67,156",8,3880
189561,29930.76738,31025.9016,1.296861686,103.8506674,Bras Basah,Bras Basah,Museum,Central,CC2,operational,FALSE,FALSE,CC2,,,2,,,,,,,,,"130,147,850E,124,147A,162M,7A,12,131,502,2A,133,32,111,656,851,16,665,162,660,33,166,36,16M,857,851e,502A,167,190,174,652,51,175,14A,518,80,63,951E,77,960,174e,131A,61,14e,7,145,857B,12e,106,36B,960e,2,36A,197,518A,663,14",57,10
268857,25113.2012,33301.26022,1.317439152,103.8073792,Farrer Road,Farrer Court,Bukit Timah,Central,CC20,operational,FALSE,FALSE,CC20,,,20,,,,,,,,,"93,186,174,961,153,5N,165,855,48,961M",10,6180
278995,23891.21523,32726.41283,1.312240296,103.7963991,Holland Village,Leedon Park,Bukit Timah,Central,CC21,operational,FALSE,FALSE,CC21,,,21,,,,,,,,,"7,5N,106,75,NR8,165,970,7B,95,48,77,61",12,6440
138647,22896.07281,31346.4081,1.299759875,103.7874575,One-North,One North,Queenstown,Central,CC23,operational,FALSE,FALSE,CC23,,,23,,,,,,,,,"191,91",2,720
