,postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE,svc,bus count,pop,hub,min_dist,nearest_hub,cluster,bus_rank,pop_rank,dist_rank,pop-bus_rank
0,534803,34128.79235,35258.74882,1.3351415009999998,103.88838929999999,Tai Seng,Tai Seng,Hougang,North-East,CC11,operational,False,False,CC11,,,11.0,,,,,,,,,"24,70,151,80A,76,58A,43,158,62A,90A,62,90,22,93,58B,80,28,70A,70M,58",20,13830.0,False,6.624440279151453,Tampines,2.0,0.6219512195121951,0.5934959349593496,0.8211382113821138,-0.028455284552845517
2,554533,31431.405469999998,37079.94437,1.351612171,103.86415190000001,Lorong Chuan,Lorong Chuan,Serangoon,North-East,CC14,operational,False,False,CC14,,,14.0,,,,,,,,,"105,58",2,8490.0,False,7.635612297254236,Raffles Place,1.0,0.052845528455284556,0.4634146341463415,0.9105691056910569,0.4105691056910569
3,573993,28679.368769999997,36758.71365,1.348707263,103.83942309999999,Marymount,Upper Thomson,Bishan,Central,CC16,operational,False,False,CC16,,,16.0,,,,,,,,,"163,130,167,851,54,165,410G,162M,74,52,162,855,852,132,166,410,410W,980",18,29390.0,False,7.304788436583408,Raffles Place,2.0,0.5650406504065041,0.7560975609756098,0.8861788617886179,0.19105691056910568
5,257494,25959.6005,33818.14422,1.322113736,103.8149845,Botanic Gardens,Tyersall,Tanglin,Central,CC19/DT9,operational,False,True,CC19,DT9,,19.0,,,9.0,,,,,,"170A,186,153,154,151,48,67,156",8,3880.0,False,5.855440400164224,Raffles Place,2.0,0.22357723577235772,0.3902439024390244,0.6991869918699187,0.16666666666666669
6,189561,29930.76738,31025.9016,1.296861686,103.8506674,Bras Basah,Bras Basah,Museum,Central,CC2,operational,False,False,CC2,,,2.0,,,,,,,,,"130,147,850E,124,147A,162M,7A,12,131,502,2A,133,32,111,656,851,16,665,162,660,33,166,36,16M,857,851e,502A,167,190,174,652,51,175,14A,518,80,63,951E,77,960,174e,131A,61,14e,7,145,857B,12e,106,36B,960e,2,36A,197,518A,663,14",57,10.0,False,1.4189371249231832,Raffles Place,2.0,0.991869918699187,0.032520325203252036,0.14634146341463414,-0.959349593495935
7,268857,25113.2012,33301.26022,1.317439152,103.8073792,Farrer Road,Farrer Court,Bukit Timah,Central,CC20,operational,False,False,CC20,,,20.0,,,,,,,,,"93,186,174,961,153,5N,165,855,48,961M",10,6180.0,False,6.143011398654056,Raffles Place,1.0,0.2967479674796748,0.4146341463414634,0.7479674796747967,0.1178861788617886
8,278995,23891.21523,32726.41283,1.312240296,103.79639909999999,Holland Village,Leedon Park,Bukit Timah,Central,CC21,operational,False,False,CC21,,,21.0,,,,,,,,,"7,5N,106,75,NR8,165,970,7B,95,48,77,61",12,6440.0,False,6.449275377687267,Jurong East,1.0,0.3617886178861789,0.42276422764227645,0.8130081300813008,0.06097560975609756
9,138647,22896.072809999998,31346.4081,1.299759875,103.7874575,One-North,One North,Queenstown,Central,CC23,operational,False,False,CC23,,,23.0,,,,,,,,,"191,91",2,720.0,False,6.24520518367289,Jurong East,2.0,0.052845528455284556,0.24796747967479674,0.7723577235772358,0.19512195121951217
10,118177,22575.01071,30657.933289999997,1.293533499,103.78457270000001,Kent Ridge,National University Of S'Pore,Queenstown,Central,CC24,operational,False,False,CC24,,,24.0,,,,,,,,,"166,92,92B,33A,97,200A,963e,200,92A,95,95B,963,33,197,14",15,240.0,False,6.4424871029573065,Jurong East,2.0,0.4796747967479675,0.18292682926829268,0.8048780487804879,-0.2967479674796748
11,117396,22261.1431,29445.80204,1.282571358,103.7817527,Haw Par Villa,Pasir Panjang 1,Queenstown,Central,CC25,operational,False,False,CC25,,,25.0,,,,,,,,,"30,200A,51,176,175,200,10,143,188,30e",10,4510.0,False,7.133194912025373,Jurong East,2.0,0.2967479674796748,0.3983739837398374,0.8780487804878049,0.1016260162601626
12,117424,23329.26471,28742.765760000002,1.276213522,103.7913503,Pasir Panjang,Port,Queenstown,Central,CC26,operational,False,False,CC26,,,26.0,,,,,,,,,"30,51,176,188e,175,10,143,188,30e",9,120.0,False,6.740080252255567,Raffles Place,2.0,0.25203252032520324,0.14634146341463414,0.8536585365853658,-0.1056910569105691
13,109029,24584.77505,28304.9441,1.272254177,103.8026316,Labrador Park,Maritime Square,Bukit Merah,Central,CC27,operational,False,False,CC27,,,27.0,,,,,,,,,"166,93,30,57,97,963,51,176,100,175,10,120,143,188,30e,61",16,3620.0,False,5.586505633171773,Raffles Place,2.0,0.5203252032520326,0.36585365853658536,0.6585365853658537,-0.15447154471544722
