period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-02,weekday,11,NS7,1779,1416,NS7,,,False,7.0,,,,,,,,,,,,,Kranji
2022-02,weekend,11,NS7,1960,1346,NS7,,,False,7.0,,,,,,,,,,,,,Kranji
2022-02,weekend,16,SW4,522,528,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-02,weekday,16,SW4,742,1166,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-02,weekend,10,CC5,598,1321,CC5,,,False,,,5.0,,,,,,,,,,,Nicoll Highway
2022-02,weekday,10,CC5,1053,2598,CC5,,,False,,,5.0,,,,,,,,,,,Nicoll Highway
2022-02,weekday,13,CC23,5616,5160,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-02,weekend,13,CC23,1123,1005,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-02,weekday,22,EW33,636,886,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-02,weekend,22,EW33,274,931,EW33,,,False,,,,33.0,,,,,,,,,,Tuas Link
2022-02,weekend,14,CC21,2885,2658,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-02,weekday,14,CC21,4574,5204,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-02,weekend,18,EW24/NS1,31880,31639,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-02,weekday,18,EW24/NS1,114484,80593,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-02,weekend,7,NE10,2628,2243,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-02,weekday,7,NE10,15016,26572,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-02,weekend,8,EW22,1357,1296,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-02,weekday,8,EW22,6319,24922,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-02,weekend,7,BP10,1018,524,BP10,,,False,,,,,,10.0,,,,,,,,Fajar
2022-02,weekday,7,BP10,8396,2445,BP10,,,False,,,,,,10.0,,,,,,,,Fajar
2022-02,weekday,15,NE10,12675,9469,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-02,weekend,15,NE10,4744,4736,NE10,,,False,,,,,10.0,,,,,,,,,Potong Pasir
2022-02,weekday,18,EW22,15488,9523,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-02,weekend,18,EW22,1558,1918,EW22,,,False,,,,22.0,,,,,,,,,,Dover
2022-02,weekend,15,CC25,2407,1669,CC25,,,False,,,25.0,,,,,,,,,,,Haw Par Villa
2022-02,weekday,15,CC25,3268,2793,CC25,,,False,,,25.0,,,,,,,,,,,Haw Par Villa
2022-02,weekday,12,CE1/DT16,6650,13715,CE1,DT16,,True,,,,,,,1.0,16.0,,,,,,Bayfront
2022-02,weekend,12,CE1/DT16,5684,13623,CE1,DT16,,True,,,,,,,1.0,16.0,,,,,,Bayfront
2022-02,weekday,10,SW6,2337,1110,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-02,weekend,10,SW6,1494,659,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-02,weekend,17,DT31,2496,2750,DT31,,,False,,,,,,,,31.0,,,,,,Tampines West
2022-02,weekday,17,DT31,5899,8586,DT31,,,False,,,,,,,,31.0,,,,,,Tampines West
2022-02,weekend,15,CC14,1923,2047,CC14,,,False,,,14.0,,,,,,,,,,,Lorong Chuan
2022-02,weekday,15,CC14,9303,5667,CC14,,,False,,,14.0,,,,,,,,,,,Lorong Chuan
2022-02,weekday,14,CC16,6563,3911,CC16,,,False,,,16.0,,,,,,,,,,,Marymount
2022-02,weekend,14,CC16,2116,1756,CC16,,,False,,,16.0,,,,,,,,,,,Marymount
2022-02,weekend,10,EW11,4540,5530,EW11,,,False,,,,11.0,,,,,,,,,,Lavender
2022-02,weekday,10,EW11,7737,9725,EW11,,,False,,,,11.0,,,,,,,,,,Lavender
2022-02,weekend,6,NS24/NE6/CC1,878,1750,NS24,NE6,CC1,True,24.0,,1.0,,6.0,,,,,,,,,Dhoby Ghaut
2022-02,weekday,6,NS24/NE6/CC1,2725,6250,NS24,NE6,CC1,True,24.0,,1.0,,6.0,,,,,,,,,Dhoby Ghaut
2022-02,weekend,24,EW19,26,109,EW19,,,False,,,,19.0,,,,,,,,,,Queenstown
2022-02,weekday,24,EW19,41,154,EW19,,,False,,,,19.0,,,,,,,,,,Queenstown
2022-02,weekday,10,CC22/EW21,5827,10116,CC22,EW21,,True,,,22.0,21.0,,,,,,,,,,Buona Vista
2022-02,weekend,10,CC22/EW21,4232,4248,CC22,EW21,,True,,,22.0,21.0,,,,,,,,,,Buona Vista
2022-02,weekday,8,CC8,7008,5611,CC8,,,False,,,8.0,,,,,,,,,,,Dakota
2022-02,weekend,8,CC8,1820,1437,CC8,,,False,,,8.0,,,,,,,,,,,Dakota
2022-02,weekend,17,NE7/DT12,14579,14452,NE7,DT12,,True,,,,,7.0,,,12.0,,,,,,Little India
2022-02,weekday,17,NE7/DT12,23861,16682,NE7,DT12,,True,,,,,7.0,,,12.0,,,,,,Little India
