period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,DT,CE,BP,PW,TE,PE,CG,SE,name
2022-01,weekday,9,NS10,46854,18905,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,9,NS10,20604,8217,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,21,NS10,12004,40116,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,21,NS10,5117,18171,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,5,NS10,22235,2492,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,5,NS10,4920,566,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,7,NS10,120287,49206,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,7,NS10,17678,8064,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,20,NS10,20062,44760,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,20,NS10,7928,17269,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,24,NS10,315,3270,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,24,NS10,620,5970,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,6,NS10,87408,23048,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,6,NS10,13574,4299,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,13,NS10,17330,11748,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,13,NS10,29751,23750,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,19,NS10,10694,17840,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,19,NS10,29731,67796,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,23,NS10,3377,18918,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,23,NS10,1598,10815,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,22,NS10,3617,17041,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,22,NS10,8064,34476,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,11,NS10,30713,14598,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,11,NS10,19598,8467,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,15,NS10,23854,29520,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,15,NS10,14001,12798,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,12,NS10,30509,19726,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,12,NS10,18515,9760,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,14,NS10,15467,12278,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,14,NS10,25397,27576,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,17,NS10,15384,16302,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,17,NS10,48555,51980,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,8,NS10,77918,34561,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,8,NS10,19355,9279,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,10,NS10,20856,7482,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,10,NS10,35274,14253,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,18,NS10,50319,82611,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,18,NS10,13535,18376,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekend,16,NS10,13813,13514,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,16,NS10,25508,36546,NS10,,,FALSE,10,,,,,,,,,,,,,Admiralty
2022-01,weekday,13,EW9,17675,11382,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,13,EW9,8738,7557,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,21,EW9,4909,7057,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,21,EW9,8350,15715,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,19,EW9,15176,28178,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,19,EW9,7514,9774,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,14,EW9,13340,10637,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,14,EW9,8102,7509,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,11,EW9,10554,8398,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,11,EW9,7874,6775,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,17,EW9,21394,20283,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,17,EW9,9715,11036,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,23,EW9,2449,6292,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,23,EW9,1601,3439,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,8,EW9,6327,6953,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,8,EW9,23886,23566,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,10,EW9,12044,9232,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,10,EW9,7265,7446,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,9,EW9,7118,7361,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,9,EW9,15315,14701,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,20,EW9,5816,7797,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,20,EW9,9958,17124,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,6,EW9,5998,1507,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,6,EW9,22470,8725,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,24,EW9,95,283,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekday,24,EW9,157,609,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
2022-01,weekend,7,EW9,8733,4259,EW9,,,FALSE,,,,9,,,,,,,,,,Aljunied
